,Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1,2/11/2016,415,417.5,408,410,410.15,411580,1702.17
2,1/11/2016,417,419.45,413.05,418.2,418,227543,950.82
3,30/10/2016,418.8,419.5,414,416.5,417.3,33017,137.94
4,28/10/2016,411.9,418.1,407.65,416.05,416,382885,1589.46
5,27/10/2016,410.05,417.45,410.05,411.05,412.4,588857,2436.28
6,26/10/2016,414.1,416.25,410.2,413,411.95,135783,561.16
7,25/10/2016,417,419.75,413.3,414.3,414.9,136358,566.57
8,24/10/2016,412.8,420.8,412,417.3,417.25,505554,2109.99
9,21/10/2016,414.65,416.2,410.8,413.7,414.4,142832,589.51
10,20/10/2016,414.4,418.55,412.65,413.6,414.25,241486,1000.44
11,19/10/2016,410.25,416,407.5,413.4,413.85,199882,827.03
12,18/10/2016,414.85,419.95,404.6,409.4,409.7,326567,1346.59
13,17/10/2016,418.45,421.25,413,414.2,414.3,279259,1162.57
14,14/10/2016,416.9,421.5,414.55,417.75,417.9,443069,1854.54
15,13/10/2016,412,420,411.5,415,414.75,579270,2403.85
16,10/10/2016,419,419.85,411.3,412.15,412.6,392003,1628.36
17,7/10/2016,412,419.3,412,414.2,415.35,349696,1454.23
18,6/10/2016,414,421.2,407.25,412.05,412.1,832709,3472
19,5/10/2016,415.05,417.8,408.75,409.95,410.6,321575,1329.46
20,4/10/2016,415.4,420.95,413.5,415,415,581452,2419.95
21,3/10/2016,403.1,417.75,402.35,414.05,414.85,642836,2649.81
22,30/09/2016,397.05,405.9,394.25,400.95,400.1,585874,2342.27
23,29/09/2016,406,409,391.8,397.05,398.5,518301,2078.04
24,28/09/2016,407.3,408.25,400.6,402.15,402.4,587996,2367.89
25,27/09/2016,405,411,404.35,406.05,407.3,312537,1275.32
26,26/09/2016,404,405,392.15,405,403.7,758941,3057.18
27,23/09/2016,406.9,406.9,402.15,403.05,403.75,606150,2454.28
28,22/09/2016,406.3,408.75,405.05,405.9,406.8,202660,824.63
29,21/09/2016,404.85,407.75,402.5,405.75,404.65,283976,1149.14
30,20/09/2016,401.6,406,398.8,405,404.9,578073,2336.27
31,19/09/2016,403.95,404,397,402.9,401.6,314812,1261.68
32,16/09/2016,392,405.6,392,399.9,403.2,1196823,4786.74
33,15/09/2016,391,393.8,386.5,392.6,391.95,427267,1669.52
34,14/09/2016,393.1,398.05,390.05,396.95,396.75,333565,1317.55
35,12/09/2016,397,397.9,389.65,394.55,395.95,635341,2508.6
36,9/09/2016,397,403.4,392,400,400.6,906274,3617.56
37,8/09/2016,397,399,393.75,396.45,396.7,649027,2572.99
38,7/09/2016,392.5,402,388,396.1,395.9,2244754,8867.02
39,6/09/2016,391.8,392,386.1,387.3,387.55,443949,1722.8
40,2/09/2016,383.7,388.9,382.9,385.2,385.8,358927,1385.99
41,1/09/2016,381.65,389.25,381.65,382.15,384.35,511478,1976.3
42,31/08/2016,385,391.8,381.3,384.85,384.5,427869,1660.54
43,30/08/2016,385.2,387.5,384.05,384.55,385.75,363762,1402.07
44,29/08/2016,384.95,386.45,381.35,383.25,384.25,205691,790.85
45,26/08/2016,385.45,388.8,380.55,383.2,384.7,555292,2139.15
46,25/08/2016,387.9,388.9,380.5,383.05,383.75,943847,3625.23
47,24/08/2016,372,388,372,386.75,386.3,1139148,4369.47
48,23/08/2016,373.45,373.45,370.25,371.3,371.75,160466,597.04
49,22/08/2016,375,377.55,371.75,372.1,373.85,225901,846.58
50,19/08/2016,375.05,377.3,373.5,374.55,374.95,513240,1925.54
51,18/08/2016,370,375,369.1,374.9,374.5,264275,983.09
52,17/08/2016,371,371.6,368.4,369.6,369.95,525991,1946.45
53,16/08/2016,369.95,372,367.15,369.95,368.8,226089,834.8
54,12/08/2016,367.8,371.1,366.65,368.75,368.9,179492,662.31
55,11/08/2016,363.95,367.2,360,367,365.85,147908,538.92
56,10/08/2016,373,373.7,362.25,364.2,364,296774,1088.38
57,9/08/2016,379.4,379.4,370.1,371.4,371.4,560787,2099.53
58,8/08/2016,376.1,376.6,365.2,373.1,373.9,197784,740.06
59,5/08/2016,370.25,375.75,368.35,374.4,374.95,287533,1075.02
60,4/08/2016,367.5,372,365.7,368.05,368.15,87991,324.04
61,3/08/2016,372.95,373.6,366,367.05,366.65,129888,478.54
62,2/08/2016,367.65,374,364.5,369.25,370.65,370427,1370.22
63,1/08/2016,369,373.95,366.15,370,369.75,214497,791.61
64,29/07/2016,370.2,371.7,365.35,367.2,368.55,157511,580.78
65,28/07/2016,372.85,374.9,368,368.95,370.3,257916,958.39
66,27/07/2016,374,375.55,371.15,372.95,372.95,472154,1763.74
67,26/07/2016,375,375.45,370,373.15,372.45,396052,1480.97
68,25/07/2016,375.4,377,373.5,374.9,374.95,586577,2199
69,22/07/2016,376.35,378.75,371.75,374.55,374.95,1136299,4259.35
70,21/07/2016,374.5,378.9,373,375.25,374.8,1176318,4411.85
71,20/07/2016,369,374.8,369,372.55,372.6,242352,903.07
72,19/07/2016,362,371,359.5,369.2,369.75,367680,1346.92
73,18/07/2016,369.2,369.25,359.4,362.4,362.7,590716,2147.01
74,15/07/2016,370,377.9,366.85,374.65,374.45,439965,1644.65
75,14/07/2016,368.55,370.95,365.1,368.95,368.5,273167,1002.79
76,13/07/2016,371.8,380,370,370.05,371.5,798394,3001.72
77,12/07/2016,364.85,369.55,363.6,365.55,365.45,233788,856.36
78,11/07/2016,363,375,361.05,365.1,364.35,187331,683.24
79,8/07/2016,368,368,358.2,359.55,360.65,218232,791.19
80,7/07/2016,373.05,376.95,367.5,367.6,368.35,244017,905.37
81,5/07/2016,372.5,378.5,370.1,373.8,374.3,372620,1395.99
82,4/07/2016,370,379.9,367.8,373.65,372.6,547587,2052.1
83,1/07/2016,352.5,370.85,350.65,370.85,363.55,334995,1204.31
84,30/06/2016,352.7,354.85,347.5,352.15,352.2,411860,1444.02
85,29/06/2016,349.7,353.9,348,352.15,351.6,565725,1994.22
86,28/06/2016,350.8,354.65,344.05,346.85,346.05,430807,1502.83
87,27/06/2016,349,356.5,346.7,349.1,348.45,282293,992.05
88,24/06/2016,352.25,356.95,346,348.65,348.25,558352,1955.4
89,23/06/2016,357.9,360.75,355.05,359.9,359.25,185836,665.53
90,22/06/2016,354.15,360.75,354.15,358,357.9,235651,843.79
91,21/06/2016,351.6,359,351.6,356.85,356.85,228625,815.29
92,20/06/2016,350,354.75,349.15,351.7,352.3,120486,425.25
93,17/06/2016,351.6,354,346,350.85,349.85,380731,1331.94
94,16/06/2016,350,353.65,346.3,350.75,351.6,310092,1084.8
95,15/06/2016,351,351.55,348.6,349.65,349.6,132548,464.15
96,14/06/2016,349,352.75,349,350,350,254813,893.2
97,13/06/2016,353.6,357.95,349.05,350.05,350,215107,755.99
98,10/06/2016,359.8,362,356.4,359.5,357.95,174866,628.28
99,9/06/2016,352.15,363,352.15,358.75,358.65,326675,1172.74
100,8/06/2016,352.5,356,350.2,350.7,351.3,224496,792.07
101,7/06/2016,350.15,353.1,348.25,350.6,352,120685,423.47
102,6/06/2016,351.15,353.8,348,349,349.1,139347,488.54
103,3/06/2016,352.15,355.45,350.1,351.25,351.15,162392,571.44
104,2/06/2016,348,354.8,347.45,351.7,352.65,215063,755.51
105,1/06/2016,350,354.7,346.55,350.65,352.35,299926,1049.5
106,31/05/2016,350,356.65,347.15,349.4,350,476732,1676.39
107,30/05/2016,351.9,354.95,343.1,348.65,349.65,294561,1027.98
108,27/05/2016,348.25,354.4,346,346.8,348.7,423299,1483.67
109,26/05/2016,345,351.25,344.2,348,347.7,666805,2320.32
110,25/05/2016,342.3,345.6,340.8,342.6,342.65,316534,1083.93
111,24/05/2016,341.8,346.3,338.3,342.5,341.6,256118,872
112,23/05/2016,339.15,342.75,337.3,342,339.55,195697,664.93
113,20/05/2016,341.6,344.15,337.55,339,339.15,100255,340.63
114,19/05/2016,345.45,345.45,337.15,341,341,188820,643.84
115,18/05/2016,341.9,346.75,341,344.25,345,544263,1877.37
116,17/05/2016,331.25,344.25,331.25,341,341.2,743165,2528.44
117,16/05/2016,329.5,330.5,325.35,330.5,329.65,85113,279.38
118,13/05/2016,325.4,330.55,322.3,329,328.6,696399,2267.5
119,12/05/2016,332,332,324,324.75,324.95,842824,2740.42
120,11/05/2016,325,329.2,322,327,327.05,313905,1019.71
121,10/05/2016,332,332.6,323.75,326.5,326.35,660960,2153.03
122,9/05/2016,329.1,333.55,328.4,332.45,331.95,529598,1755.88
123,6/05/2016,320.9,331,320,328.7,328.6,504833,1645.42
124,5/05/2016,328,328.5,319.6,321.3,320.4,299531,965.34
125,4/05/2016,335.1,335.35,326.5,328.25,328.4,399314,1314.3
126,3/05/2016,335,340.2,334.1,337,337.6,687549,2324.11
